,index,Date,Open,High,Low,Close,Volume
44640,1485524,2022-04-04 12:34:00,4572.53,4572.56,4572.11,4572.16,0
44641,1485525,2022-04-04 12:35:00,4572.11,4572.48,4572.1,4572.1,0
44642,1485526,2022-04-04 12:36:00,4572.13,4572.13,4571.34,4571.39,0
44643,1485527,2022-04-04 12:37:00,4571.35,4571.39,4570.85,4571.04,0
44644,1485528,2022-04-04 12:38:00,4571.08,4571.08,4570.0,4570.0,0
44645,1485529,2022-04-04 12:39:00,4570.06,4570.06,4567.17,4568.17,0
44646,1485530,2022-04-04 12:40:00,4568.19,4568.19,4567.35,4567.36,0
44647,1485531,2022-04-04 12:41:00,4567.34,4567.81,4567.0,4567.66,0
44648,1485532,2022-04-04 12:42:00,4567.63,4568.14,4567.14,4567.3,0
44649,1485533,2022-04-04 12:43:00,4567.33,4567.33,4565.49,4565.51,0
44650,1485534,2022-04-04 12:44:00,4565.48,4566.81,4565.48,4566.72,0
44651,1485535,2022-04-04 12:45:00,4566.69,4567.01,4566.51,4566.69,0
44652,1485536,2022-04-04 12:46:00,4566.66,4566.81,4565.52,4565.52,0
44653,1485537,2022-04-04 12:47:00,4565.44,4566.45,4565.42,4566.45,0
44654,1485538,2022-04-04 12:48:00,4566.46,4567.61,4566.46,4567.61,0
44655,1485539,2022-04-04 12:49:00,4567.55,4567.63,4566.83,4567.42,0
44656,1485540,2022-04-04 12:50:00,4567.38,4567.86,4567.38,4567.66,0
44657,1485541,2022-04-04 12:51:00,4567.67,4567.67,4566.32,4566.61,0
44658,1485542,2022-04-04 12:52:00,4566.61,4567.5,4566.61,4567.43,0
44659,1485543,2022-04-04 12:53:00,4567.42,4567.59,4566.92,4567.34,0
44660,1485544,2022-04-04 12:54:00,4567.37,4567.6,4567.29,4567.3,0
44661,1485545,2022-04-04 12:55:00,4567.15,4567.15,4566.07,4566.7,0
44662,1485546,2022-04-04 12:56:00,4566.67,4566.69,4565.65,4565.68,0
44663,1485547,2022-04-04 12:57:00,4565.73,4566.53,4565.33,4566.47,0
44664,1485548,2022-04-04 12:58:00,4566.5,4566.83,4566.19,4566.24,0
44665,1485549,2022-04-04 12:59:00,4566.26,4566.26,4565.57,4565.67,0
44666,1485550,2022-04-04 13:00:00,4565.64,4565.64,4564.64,4564.77,0
44667,1485551,2022-04-04 13:01:00,4564.7,4564.7,4563.31,4563.73,0
44668,1485552,2022-04-04 13:02:00,4563.5,4564.38,4563.27,4564.38,0
